Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
KM Asif,3,0,0.0,0.0,0,0,0,0,4,11.39,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226409/km-asif.jpg,90.0,0.0,1.483836777954425
Murugan Ashwin,42,35,3.89,70.0,0,0,2,1,35,7.87,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226412/murugan-ashwin.jpg,720.0,0.0,14.838367779544251
Kuldeep Sen,7,0,0.0,0.0,0,0,0,0,8,9.42,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/kuldeep-sen.jpg,180.0,0.0,3.391626921038686
Kuldip Yadav,1,0,0.0,0.0,0,0,0,0,0,8.0,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/kuldip-yadav.jpg,20.0,0.0,0.0
Mohsin Khan,9,23,23.0,143.75,0,0,2,1,14,5.97,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/mohsin-khan.jpg,290.0,0.0,5.723370429252783
Simarjeet Singh,6,7,7.0,87.5,0,0,0,0,4,7.67,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/simarjeet-singh.jpg,100.0,0.0,1.695813460519343
Tushar Deshpande,7,21,21.0,175.0,0,0,2,1,4,10.62,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c190903/tushar-deshpande.jpg,70.0,0.0,1.0598834128245893
Darshan Nalkande,2,0,0.0,0.0,0,0,0,0,2,11.42,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/darshan-nalkande.jpg,50.0,0.0,0.6359300476947536
Pradeep Sangwan,42,26,3.25,59.09,0,0,1,0,38,8.69,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c153373/pradeep-sangwan.jpg,780.0,0.0,16.11022787493376
Harshit Rana,2,2,2.0,100.0,0,0,0,0,1,10.2,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/harshit-rana.jpg,30.0,0.0,0.21197668256491786
Khaleel Ahmed,34,1,0.2,14.29,0,0,0,0,48,8.49,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171017/khaleel-ahmed.jpg,980.0,280.0,24.80127186009539
Lungi Ngidi,14,0,0.0,0.0,0,0,0,0,25,8.3,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244772/lungi-ngidi.jpg,520.0,1190.0,29.517753047164813
Karn Sharma,68,317,15.1,115.69,0,0,18,14,59,7.91,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226391/karn-sharma.jpg,1190.0,40.0,25.43720190779014
MS Dhoni,234,4978,39.2,135.2,0,24,346,229,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170677/ms-dhoni.jpg,7501.0,2378.0,100.0
